Gene	Gene synonym	Ensembl	Gene description	Uniprot	Chromosome	Position	Protein class	Biological process	Molecular function	Disease involvement	Evidence	HPA evidence	UniProt evidence	NeXtProt evidence	RNA tissue specificity	RNA tissue distribution	RNA tissue specificity score	RNA tissue specific nTPM	RNA single cell type specificity	RNA single cell type distribution	RNA single cell type specificity score	RNA single cell type specific nTPM	RNA single nuclei brain specificity	RNA single nuclei brain distribution	RNA single nuclei brain specificity score	RNA single nuclei brain specific nTPM	RNA cancer specificity	RNA cancer distribution	RNA cancer specificity score	RNA cancer specific FPKM	RNA brain regional specificity	RNA brain regional distribution	RNA brain regional specificity score	RNA brain regional specific nTPM	RNA blood cell specificity	RNA blood cell distribution	RNA blood cell specificity score	RNA blood cell specific nTPM	RNA blood lineage specificity	RNA blood lineage distribution	RNA blood lineage specificity score	RNA blood lineage specific nTPM	RNA cell line specificity	RNA cell line distribution	RNA cell line specificity score	RNA cell line specific nTPM	RNA tissue cell type enrichment	RNA mouse brain regional specificity	RNA mouse brain regional distribution	RNA mouse brain regional specificity score	RNA mouse brain regional specific nTPM	RNA pig brain regional specificity	RNA pig brain regional distribution	RNA pig brain regional specificity score	RNA pig brain regional specific nTPM	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	Secretome location	Secretome function	CCD Protein	CCD Transcript	Blood concentration - Conc. blood IM [pg/L]	Blood concentration - Conc. blood MS [pg/L]	Blood expression cluster	Tissue expression cluster	Brain expression cluster	Cell line expression cluster	Single cell expression cluster	Interactions	Subcellular main location	Subcellular additional location	Antibody RRID	Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (TCGA)	Cancer prognostics - Breast Invasive Carcinoma (validation)	Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (TCGA)	Cancer prognostics - Colon Adenocarcinoma (validation)	Cancer prognostics - Glioblastoma Multiforme (TCGA)	Cancer prognostics - Glioblastoma Multiforme (validation)	Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Chromophobe (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)	Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)	Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)	Cancer prognostics - Liver Hepatocellular Carcinoma (validation)	Cancer prognostics - Lung Adenocarcinoma (TCGA)	Cancer prognostics - Lung Adenocarcinoma (validation)	Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)	Cancer prognostics - Lung Squamous Cell Carcinoma (validation)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)	Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)	Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)	Cancer prognostics - Pancreatic Adenocarcinoma (validation)	Cancer prognostics - Prostate Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (TCGA)	Cancer prognostics - Rectum Adenocarcinoma (validation)	Cancer prognostics - Skin Cuteneous Melanoma (TCGA)	Cancer prognostics - Stomach Adenocarcinoma (TCGA)	Cancer prognostics - Testicular Germ Cell Tumor (TCGA)	Cancer prognostics - Thyroid Carcinoma (TCGA)	Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)
FGA		ENSG00000171560	Fibrinogen alpha chain	P02671	4	154583126-154590742	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Metabolic proteins, Plasma proteins, Predicted secreted proteins	Adaptive immunity, Blood coagulation, Hemostasis, Immunity, Innate immunity		Amyloidosis, Cancer-related genes, Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	386	liver: 17848.7	Cell type enriched	Detected in many	30	Hepatocytes: 13631.3	Not detected	Not detected			Cancer enriched	Detected in many	22	Liver Hepatocellular Carcinoma (TCGA): 4519.4	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	6	liver cancer: 180.5	Liver - Hepatocytes, Stomach - Parietal cells, Testis - Early spermatids, Testis - Late spermatids									CAB016776, HPA051370, HPA064755	Supported		Enhanced	Endoplasmic reticulum	Secreted to blood	Blood coagulation	NA	NA	407000000	1,6E+11		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	14	Endoplasmic reticulum		CAB016776: , HPA051370: AB_2681458, HPA064755: AB_2685345		unprognostic (1.91e-1)	unprognostic (2.37e-1)	unprognostic (4.10e-2)							unprognostic (4.42e-2)	unprognostic (2.33e-2)	unprognostic (1.65e-2)	unprognostic (9.82e-4)	unprognostic (3.52e-3)	unprognostic (2.52e-2)	unprognostic (2.72e-1)	unprognostic (3.10e-5)	unprognostic (1.47e-1)			unprognostic (2.33e-1)	unprognostic (3.11e-5)		unprognostic (5.76e-2)		unprognostic (3.22e-1)	unprognostic (3.11e-1)	unprognostic (1.16e-1)		
FGB		ENSG00000171564	Fibrinogen beta chain	P02675	4	154563011-154572807	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Adaptive immunity, Blood coagulation, Hemostasis, Immunity, Innate immunity		Cancer-related genes, Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	372	liver: 17393.5	Cell type enriched	Detected in some	8	Hepatocytes: 15989.7	Not detected	Not detected			Cancer enriched	Detected in many	22	Liver Hepatocellular Carcinoma (TCGA): 3839.7	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	8	liver cancer: 219.4	Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in all			HPA001900, HPA001901, CAB008624	Enhanced		Enhanced	Endoplasmic reticulum	Secreted to blood	Blood coagulation	NA	NA		1,3E+11		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	23	Endoplasmic reticulum		CAB008624: AB_1615610, HPA001900: AB_1078865, HPA001901: AB_1078864		unprognostic (8.65e-2)	unprognostic (1.35e-2)	unprognostic (1.62e-2)							unprognostic (9.68e-2)	unprognostic (5.40e-2)	unprognostic (4.17e-2)	unprognostic (9.79e-3)	unprognostic (1.16e-3)	unprognostic (5.45e-3)	unprognostic (1.41e-1)	unprognostic (2.02e-1)				unprognostic (1.15e-1)	unprognostic (8.34e-9)		unprognostic (1.59e-1)		unprognostic (3.78e-1)	unprognostic (2.40e-2)	unprognostic (9.50e-2)		unprognostic (1.01e-1)
FGF21		ENSG00000105550	Fibroblast growth factor 21	Q9NSA1	19	48755524-48758333	Predicted secreted proteins, RAS pathway related proteins		Growth factor		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	107	liver: 82.1	Group enriched	Detected in some	38	"Cholangiocytes: 1.9;Hepatocytes: 6.5"	Not detected	Not detected			Cancer enriched	Detected in single	384	Liver Hepatocellular Carcinoma (TCGA): 57.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		"Esophageal cancer: 1.6;Rhabdoid: 1.8"		Not detected	Not detected			Low region specificity	Detected in all			HPA061286	Supported				Secreted to blood	Growth factor	NA	NA	254000	140000		Cluster 31: Liver - Plasma proteins		Cluster 13: Non-specific - Mixed function	Cluster 43: Hepatocytes - Metabolism	6			HPA061286: AB_2684466														unprognostic (4.15e-2)	unprognostic (2.88e-3)																
FGG		ENSG00000171557	Fibrinogen gamma chain	P02679	4	154604134-154612967	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Blood coagulation, Hemostasis		Cancer-related genes, Disease variant, FDA approved drug targets	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	330	liver: 16058.1	Cell type enriched	Detected in some	10	Hepatocytes: 9849.5	Not detected	Not detected			Cancer enriched	Detected in many	9	Liver Hepatocellular Carcinoma (TCGA): 3452.3	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in many	6	liver cancer: 229.6	Liver - Hepatocytes	Not detected	Not detected			Not detected	Not detected			HPA011159, HPA027529, CAB033120, HPA074638	Supported		Approved	Endoplasmic reticulum,Vesicles	Secreted to blood	Blood coagulation	NA	NA	2,67E+11	81000000000		Cluster 31: Liver - Plasma proteins		Cluster 71: Lymphoma - Inflammatory response	Cluster 62: Hepatocytes - Metabolism	6	Endoplasmic reticulum	Vesicles	CAB033120: AB_2103818, HPA011159: , HPA027529: AB_10601322, HPA074638: 		unprognostic (3.86e-2)	unprognostic (2.97e-1)	unprognostic (6.68e-2)							unprognostic (6.67e-2)	unprognostic (4.64e-3)	unprognostic (1.04e-1)	unprognostic (4.27e-3)	unprognostic (1.13e-2)	unprognostic (3.99e-2)	unprognostic (3.22e-1)	unprognostic (1.33e-4)	unprognostic (2.21e-1)			unprognostic (8.80e-3)	unprognostic (1.79e-4)					unprognostic (2.90e-3)	unprognostic (3.28e-1)		
FGL1	HFREP-1, HPS	ENSG00000104760	Fibrinogen like 1	Q08830	8	17864380-17910365	Plasma proteins, Predicted secreted proteins	Adaptive immunity, Immunity			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	6	liver: 4058.4	Cell type enriched	Detected in some	10	Hepatocytes: 7048.4	Cell type enriched	Detected in some	8	central nervous system macrophage: 165.9	Cancer enriched	Detected in many	21	Liver Hepatocellular Carcinoma (TCGA): 1176.4	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	6	"Gastric cancer: 14.9;liver cancer: 57.2"	Testis - Early spermatids, Testis - Late spermatids	Low region specificity	Detected in many			Low region specificity	Detected in many								Secreted to blood	Immunity	NA	NA	33700000	81000000		Cluster 83: Liver - Metabolism	Cluster 53: Neurons - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	3					unprognostic (1.77e-1)	unprognostic (2.72e-2)								unprognostic (1.08e-4)			unprognostic (2.10e-1)	unprognostic (2.66e-1)	unprognostic (2.18e-1)	unprognostic (3.15e-1)	unprognostic (3.45e-2)				unprognostic (3.12e-1)	unprognostic (5.23e-3)	unprognostic (2.57e-3)				unprognostic (5.12e-4)			unprognostic (4.33e-2)
GC	DBP, hDBP, VDBP	ENSG00000145321	GC vitamin D binding protein	P02774	4	71741696-71804041	Metabolic proteins, Plasma proteins, Predicted secreted proteins	Transport	Actin-binding		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	17	liver: 8007.3	Group enriched	Detected in some	9	"Cholangiocytes: 1684.6;Hepatocytes: 2766.0"	Cell type enriched	Detected in some	4	ependymal cell: 8.5	Cancer enriched	Detected in many	15	Liver Hepatocellular Carcinoma (TCGA): 1502.8	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enriched	Detected in some	17	liver cancer: 29.9	Liver - Hepatocytes	Not detected	Not detected			Not detected	Not detected			HPA001526, CAB008596, HPA019855	Supported				Secreted to blood	Transport	NA	NA	1,43E+11	1,1E+11		Cluster 83: Liver - Metabolism		Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism				CAB008596: AB_1622398, HPA001526: AB_1078959, HPA019855: AB_1849545											unprognostic (1.06e-1)	unprognostic (2.29e-2)	unprognostic (2.40e-3)	unprognostic (1.72e-3)	unprognostic (7.95e-2)							unprognostic (2.09e-3)	unprognostic (1.12e-3)	unprognostic (8.65e-4)				unprognostic (2.22e-2)			
GDF2	BMP-9, BMP9	ENSG00000263761	Growth differentiation factor 2	Q9UK05	10	47322454-47327588	Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins	Angiogenesis	Cytokine, Growth factor	Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in single	134	liver: 18.1	Not detected	Not detected			Not detected	Not detected			Not detected	Not detected			Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Liver - Hepatic stellate cells	Not detected	Not detected			Low region specificity	Detected in many			CAB023357	Uncertain				Secreted to blood	Cytokine	NA	NA	2210000	1100000		Cluster 31: Liver - Plasma proteins	Cluster 51: Neurons - Mixed function	Cluster 47: Leukemia - Hemostasis	Cluster 41: Adipocytes & Endothelial cells - Mixed function	3			CAB023357: AB_2111086																															
GPLD1		ENSG00000112293	Glycosylphosphatidylinositol specific phospholipase D1	P80108	6	24424565-24495205	Enzymes, Metabolic proteins, Plasma proteins, Predicted secreted proteins	Lipid metabolism	Hydrolase		Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	liver: 44.7	Cell type enhanced	Detected in many		"Cone photoreceptor cells: 49.3;Excitatory neurons: 60.4;Hepatocytes: 80.5;Inhibitory neurons: 75.0;Oligodendrocyte precursor cells: 31.1"	Low cell type specificity	Detected in all			Cancer enriched	Detected in some	7	Liver Hepatocellular Carcinoma (TCGA): 11.5	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in many		lymphoma: 6.3	Adipose visceral - Adipocytes (Visceral), Liver - Hepatocytes, Testis - Spermatogonia	Low region specificity	Detected in all			Low region specificity	Detected in all			CAB008625, HPA012500	Uncertain				Secreted to blood	Enzyme	NA	NA	1,03E+11	2800000000		Cluster 83: Liver - Metabolism	Cluster 2: Neurons - Nucleosome	Cluster 71: Lymphoma - Inflammatory response	Cluster 43: Hepatocytes - Metabolism	2			CAB008625: AB_1621070, HPA012500: AB_1849931	unprognostic (2.57e-2)		unprognostic (1.76e-2)			unprognostic (1.45e-1)	unprognostic (3.53e-2)	unprognostic (2.43e-1)						unprognostic (1.11e-4)	unprognostic (1.50e-8)		unprognostic (2.17e-2)		unprognostic (1.43e-2)							unprognostic (2.21e-2)			unprognostic (3.01e-1)	unprognostic (5.36e-2)	
HABP2	FSAP, HABP, HGFAL, PHBP	ENSG00000148702	Hyaluronan binding protein 2	Q14520	10	113550837-113589602	Candidate cardiovascular disease genes, Disease related genes, Enzymes, Human disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted secreted proteins		Hydrolase, Protease, Serine protease		Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	12	liver: 424.0	Cell type enhanced	Detected in some		"Cholangiocytes: 120.2;Ductal cells: 38.7;Hepatocytes: 185.7;Kupffer cells: 33.7;Oocytes: 85.3"	Cell type enhanced	Detected in some		"deep-layer near-projecting: 1.1;miscellaneous: 1.7;upper-layer intratelencephalic: 2.1"	Cancer enhanced	Detected in many		Liver Hepatocellular Carcinoma (TCGA): 128.0	Region enhanced	Detected in some		cerebral cortex: 2.3	Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	5	"Kidney cancer: 14.7;liver cancer: 19.4"	Liver - Hepatocytes	Not detected	Not detected			Not detected	Not detected			HPA019518	Uncertain				Secreted to blood	Enzyme	NA	NA	20200000000	5100000000		Cluster 31: Liver - Plasma proteins	Cluster 53: Neurons - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism				HPA019518: AB_1850467			unprognostic (1.07e-2)	unprognostic (6.74e-2)						unprognostic (2.68e-2)	unprognostic (1.18e-1)	unprognostic (2.82e-1)	unprognostic (3.18e-2)	unprognostic (1.19e-1)	unprognostic (3.34e-3)	unprognostic (2.45e-7)	unprognostic (3.98e-1)					unprognostic (7.84e-2)	unprognostic (1.88e-1)		unprognostic (1.33e-1)	unprognostic (1.10e-3)		unprognostic (1.28e-3)	unprognostic (2.64e-1)		unprognostic (1.95e-1)
HAMP	HEPC, HFE2B, LEAP-1, LEAP1	ENSG00000105697	Hepcidin antimicrobial peptide	P81172	19	35280716-35285143	Disease related genes, Human disease related genes, Potential drug targets, Predicted secreted proteins, Transporters		Antibiotic, Antimicrobial, Fungicide, Hormone	Disease variant	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	5	liver: 2003.9	Cell type enriched	Detected in some	15	Hepatocytes: 2832.2	Cell type enriched	Detected in single	35	central nervous system macrophage: 28.2	Group enriched	Detected in all	8	"Glioblastoma Multiforme (TCGA): 79.1;Liver Hepatocellular Carcinoma (TCGA): 191.9"	Region enhanced	Detected in all		medulla oblongata: 70.6	Group enriched	Detected in some	7	"myeloid DC: 1.5;plasmacytoid DC: 4.7"	Lineage enriched	Detected in single	10	dendritic cells: 4.7	Cancer enriched	Detected in some	5	liver cancer: 52.5	Pituitary gland - Macrophages	Not detected	Not detected			Not detected	Not detected								Secreted to blood	Hormone	NA	NA	1900000	15000000		Cluster 83: Liver - Metabolism	Cluster 12: Non-specific - Vasculature	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism					unprognostic (1.20e-1)	unprognostic (4.00e-3)	unprognostic (2.43e-2)	unprognostic (1.73e-5)	unprognostic (6.74e-4)		unprognostic (4.03e-2)	unprognostic (2.81e-1)	unprognostic (2.01e-1)	unprognostic (7.30e-2)	unprognostic (1.41e-5)	unprognostic (2.97e-5)	unprognostic (1.09e-1)	unprognostic (1.12e-1)	unprognostic (2.98e-1)	unprognostic (2.08e-1)	unprognostic (1.62e-2)	unprognostic (3.85e-2)	unprognostic (3.81e-2)	unprognostic (2.04e-1)	unprognostic (7.26e-2)	unprognostic (1.61e-1)	unprognostic (4.79e-1)	unprognostic (2.93e-1)	unprognostic (2.45e-1)		unprognostic (1.12e-3)	unprognostic (9.98e-2)	unprognostic (9.36e-2)	unprognostic (1.64e-2)	unprognostic (9.68e-2)
HGFAC	HGFA, HGFAP	ENSG00000109758	HGF activator	Q04756	4	3441968-3449486	Cancer-related genes, Enzymes, Plasma proteins, Predicted secreted proteins		Hydrolase, Protease, Serine protease	Cancer-related genes	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	57	liver: 211.9	Group enriched	Detected in some	5	"Early spermatids: 75.5;Hepatocytes: 55.8;Late spermatids: 163.2"	Cell type enriched	Detected in some	8	CGE interneuron: 16.0	Cancer enriched	Detected in some	8	Liver Hepatocellular Carcinoma (TCGA): 29.3	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in single		thyroid cancer: 1.1		Not detected	Not detected			Low region specificity	Detected in many			HPA058279, HPA059076	Enhanced				Secreted to blood	Enzyme	NA	NA	7590000	5900000000		Cluster 31: Liver - Plasma proteins	Cluster 48: Non-specific - Mixed function	Cluster 16: Thyroid cancer - Neuronal signaling	Cluster 11: Late spermatids - Unknown function	5			HPA058279: AB_2683665, HPA059076: AB_2683898			unprognostic (1.54e-1)										unprognostic (7.13e-2)	unprognostic (3.67e-3)	unprognostic (8.94e-4)						unprognostic (1.54e-2)										
HP		ENSG00000257017	Haptoglobin	P00738	16	72054505-72061055	Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted secreted proteins	Acute phase, Immunity	Antibiotic, Antimicrobial, Antioxidant, Serine protease homolog	Cancer-related genes, Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	85	liver: 54575.6	Group enriched	Detected in many	45	"Hepatocytes: 52816.7;Mesothelial cells: 16337.1"	Group enriched	Detected in some	5	"astrocyte: 2.3;bergmann glia: 3.3"	Cancer enriched	Detected in many	55	Liver Hepatocellular Carcinoma (TCGA): 12440.7	Region enhanced	Detected in all		medulla oblongata: 56.4	Group enriched	Detected in many	5	"classical monocyte: 49.5;eosinophil: 80.5"	Group enriched	Detected in many	7	"granulocytes: 80.5;monocytes: 49.5"	Group enriched	Detected in some	12	"Gastric cancer: 6.6;Leukemia: 4.1;liver cancer: 15.7"	Liver - Hepatocytes									CAB003787, HPA047750, HPA066795	Enhanced		Approved	Vesicles	Secreted to blood	Acute phase	NA	NA	9,98E+11	1,3E+11	Cluster 36: Eosinophils - Protein ubiquitination	Cluster 31: Liver - Plasma proteins	Cluster 12: Non-specific - Vasculature	Cluster 18: Liver cancer - Metabolism	Cluster 43: Hepatocytes - Metabolism	22	Vesicles		CAB003787: , HPA047750: AB_2680146, HPA066795: 	unprognostic (1.68e-1)	unprognostic (4.89e-2)	unprognostic (7.23e-3)	unprognostic (2.66e-3)	unprognostic (2.15e-1)		unprognostic (2.13e-3)	unprognostic (4.18e-3)	unprognostic (3.91e-2)		unprognostic (1.13e-8)	unprognostic (6.87e-5)	unprognostic (1.16e-2)	unprognostic (4.94e-3)	unprognostic (7.31e-5)	unprognostic (3.05e-2)	unprognostic (3.47e-4)	unprognostic (1.77e-3)	unprognostic (2.61e-1)	unprognostic (1.04e-1)	unprognostic (1.35e-1)	unprognostic (1.67e-1)	unprognostic (4.65e-2)	unprognostic (1.94e-1)	unprognostic (1.96e-1)		unprognostic (1.89e-1)	unprognostic (3.68e-4)	unprognostic (1.40e-1)	unprognostic (2.08e-1)	unprognostic (8.82e-2)
HPR		ENSG00000261701	Haptoglobin-related protein	P00739	16	72063148-72077246	Enzymes, Plasma proteins, Predicted secreted proteins		Serine protease homolog		Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Tissue enriched	Detected in many	6	liver: 786.9	Cell type enriched	Detected in some	7	Hepatocytes: 205.7	Cell type enhanced	Detected in some		"astrocyte: 3.9;bergmann glia: 5.7"	Cancer enriched	Detected in some	49	Liver Hepatocellular Carcinoma (TCGA): 365.8	Low region specificity	Detected in many			Not detected in immune cells	Not detected			Not detected	Not detected			Group enriched	Detected in some	4	"liver cancer: 2.3;prostate cancer: 3.5"	Liver - Hepatocytes									HPA047750	Supported		Approved	Vesicles	Secreted to blood	Other	NA	NA	49000000000	67000000000		Cluster 83: Liver - Metabolism	Cluster 19: Astrocytes - Mixed function	Cluster 18: Liver cancer - Metabolism	Cluster 15: Non-specific - Mixed function		Vesicles		HPA047750: AB_2680146			unprognostic (5.80e-2)				unprognostic (2.12e-1)	unprognostic (3.70e-1)			unprognostic (3.06e-6)		unprognostic (1.77e-2)	unprognostic (3.65e-3)	unprognostic (1.25e-4)																unprognostic (1.54e-1)
HPX		ENSG00000110169	Hemopexin	P02790	11	6431049-6442617	Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Host-virus interaction, Transport			Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in many	886	liver: 5126.7	Cell type enriched	Detected in some	23	Hepatocytes: 4942.9	Low cell type specificity	Detected in many			Cancer enriched	Detected in some	71	Liver Hepatocellular Carcinoma (TCGA): 1427.5	Low region specificity	Detected in single			Not detected in immune cells	Not detected			Not detected	Not detected			Cancer enhanced	Detected in some		liver cancer: 9.0	Breast - Breast glandular cells, Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in all			CAB016725, HPA065318, HPA068847	Approved				Secreted to blood	Transport	NA	NA	4,25E+11	2,3E+11		Cluster 31: Liver - Plasma proteins	Cluster 15: Non-specific - Transcription	Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	13			CAB016725: , HPA065318: , HPA068847: 		unprognostic (6.59e-2)	unprognostic (2.34e-1)								unprognostic (4.62e-8)			unprognostic (3.62e-4)	unprognostic (6.11e-8)	unprognostic (1.06e-3)								unprognostic (1.89e-2)					unprognostic (3.55e-1)		
HRG	HPRG, HRGP	ENSG00000113905	Histidine rich glycoprotein	P04196	3	186660216-186678234	Disease related genes, Human disease related genes, Plasma proteins, Predicted secreted proteins	Angiogenesis, Blood coagulation, Chemotaxis, Fibrinolysis, Hemostasis	Heparin-binding	Disease variant, Thrombophilia	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	174	liver: 5270.7	Cell type enriched	Detected in some	11	Hepatocytes: 396.9	Not detected	Not detected			Cancer enriched	Detected in some	188	Liver Hepatocellular Carcinoma (TCGA): 1162.9	Not detected	Not detected			Not detected in immune cells	Not detected			Not detected	Not detected			Not detected	Not detected			Kidney - Ascending Loop of Henle cells, Liver - Hepatocytes	Not detected	Not detected			Not detected	Not detected			HPA050269, HPA054598	Supported				Secreted to blood	Blood coagulation	NA	NA	1,2E+11	34000000000		Cluster 31: Liver - Plasma proteins		Cluster 18: Liver cancer - Metabolism	Cluster 62: Hepatocytes - Metabolism	11			HPA050269: AB_2681068, HPA054598: AB_2682539										unprognostic (1.12e-1)	unprognostic (7.50e-3)			unprognostic (4.11e-4)	unprognostic (4.20e-5)																
IGFALS	ALS	ENSG00000099769	Insulin like growth factor binding protein acid labile subunit	P35858	16	1790413-1794971	Disease related genes, Human disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Cell adhesion		Disease variant	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	Tissue enriched	Detected in some	11	liver: 113.8	Cell type enriched	Detected in some	6	Hepatocytes: 65.5	Not detected	Not detected			Cancer enhanced	Detected in many		Liver Hepatocellular Carcinoma (TCGA): 14.2	Low region specificity	Detected in all			Not detected in immune cells	Not detected			Not detected	Not detected			Low cancer specificity	Detected in single			Liver - Hepatocytes	Not detected	Not detected			Low region specificity	Detected in many			HPA040692, HPA040948	Supported				Secreted to blood	Cell adhesion	NA	NA	14700000000	18000000000		Cluster 83: Liver - Metabolism	Cluster 6: Non-specific - Immune response	Cluster 15: Kidney cancer - Membrane components	Cluster 43: Hepatocytes - Metabolism	1			HPA040692: AB_10794067, HPA040948: AB_10794999		unprognostic (4.21e-3)	unprognostic (3.85e-1)	unprognostic (1.41e-2)	unprognostic (1.02e-1)	unprognostic (7.98e-3)								unprognostic (1.75e-3)	unprognostic (3.77e-6)	unprognostic (1.61e-5)				unprognostic (1.58e-1)		unprognostic (1.09e-1)				unprognostic (6.84e-2)		unprognostic (2.23e-1)		unprognostic (1.97e-1)	unprognostic (8.81e-3)
