Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
RASGRF2	"GRF2, Ras-GRF2"	ENSG00000113319	"Ras protein specific guanine nucleotide releasing factor 2"	O14827	5	80960363-81230162	"Predicted intracellular proteins, RAS pathway related proteins"		"Calmodulin-binding, Guanine-nucleotide releasing factor"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"retina: 22.2"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 213.7;Inhibitory neurons: 390.7;Microglial cells: 85.0;Oligodendrocytes: 368.2;Oocytes: 164.7"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Group enriched"	"Detected in many"	4	"gdT-cell: 1.9;MAIT T-cell: 5.2;memory CD4 T-cell: 2.6;memory CD8 T-cell: 1.5;naive CD4 T-cell: 4.2;naive CD8 T-cell: 3.0"	"Lineage enriched"	"Detected in single"	52	"T-cells: 5.2"	"Cancer enhanced"	"Detected in many"		"testis cancer: 14.9"	"Adipose subcutaneous - Endothelial cells, Adipose visceral - Endothelial cells, Adrenal gland - Endothelial cells, Breast - Endothelial cells, Heart muscle - Endothelial cells, Minor Salivary Gland - Endothelial cells, Pancreas - Endothelial cells, Prostate - Fibroblasts, Skeletal muscle - Endothelial cells, Skin - Endothelial cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA018679	Uncertain		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 27: T-cells - Unknown function"	"Cluster 17: Neuronal - Synaptic function"	"Cluster 53: Neurons - Mixed function"	"Cluster 1: Neuronal - Visual perception"	"Cluster 8: Neurons - Neuronal signaling"		"Endoplasmic reticulum"		"HPA018679: AB_1856089"	"unprognostic (8.91e-2)"	"unprognostic (1.65e-1)"	"unprognostic (1.37e-1)"		"unprognostic (1.22e-1)"	"unprognostic (1.88e-1)"	"unprognostic (2.65e-1)"	"unprognostic (2.67e-2)"	"unprognostic (2.30e-1)"	"unprognostic (1.20e-2)"	"unprognostic (7.37e-9)"	"unprognostic (2.03e-4)"		"unprognostic (6.96e-3)"		"unprognostic (1.95e-2)"	"unprognostic (2.48e-1)"	"unprognostic (6.36e-2)"	"unprognostic (1.43e-1)"	"unprognostic (1.78e-2)"	"unprognostic (3.35e-2)"	"unprognostic (7.50e-2)"	"unprognostic (1.32e-1)"	"unprognostic (1.09e-1)"	"unprognostic (4.65e-2)"	"unprognostic (2.03e-2)"		"unprognostic (1.75e-3)"	"unprognostic (5.26e-2)"	"unprognostic (1.41e-2)"	
RCN1	"FLJ37041, PIG20, Rcal, RCN"	ENSG00000049449	"Reticulocalbin 1"	Q15293	11	32091074-32105722	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	5	"epididymis: 644.5"	"Cell type enhanced"	"Detected in all"		"Extravillous trophoblasts: 273.9;Muller glia cells: 238.4"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Pituitary gland - Somatotropes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA038474, HPA062104"	Approved		Supported	"Endoplasmic reticulum"	"Intracellular and membrane"	"No annotated function"	NA	NA		6400000	"Cluster 33: Non-specific - ATP binding"	"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 21: Non-specific - Metabolism"	"Cluster 44: Connective tissue cells - ECM organization"	"Cluster 50: Connective tissue cells - ECM organization"	40	"Endoplasmic reticulum"		"HPA038474: AB_10672595, HPA062104: AB_2684683"	"unprognostic (2.30e-1)"	"unprognostic (2.21e-1)"	"unprognostic (1.19e-1)"	"unprognostic (3.08e-2)"	"unprognostic (4.96e-2)"	"unprognostic (1.30e-2)"	"unprognostic (6.49e-3)"	"unprognostic (1.49e-2)"	"unprognostic (4.03e-2)"	"unprognostic (1.03e-1)"	"unprognostic (1.91e-2)"	"unprognostic (5.63e-3)"	"unprognostic (1.12e-2)"	"unprognostic (2.87e-4)"	"unprognostic (8.77e-3)"	"unprognostic (7.90e-5)"	"unprognostic (1.00e-4)"	"unprognostic (3.22e-2)"	"unprognostic (1.83e-2)"	"unprognostic (2.05e-1)"	"unprognostic (1.95e-1)"	"unprognostic (1.25e-1)"	"unprognostic (3.25e-2)"	"unprognostic (4.99e-2)"	"unprognostic (3.69e-2)"	"unprognostic (2.72e-1)"	"unprognostic (4.08e-1)"	"unprognostic (7.55e-3)"	"unprognostic (2.70e-1)"	"unprognostic (3.56e-2)"	"unprognostic (8.27e-2)"
RCN3	RLP49	ENSG00000142552	"Reticulocalbin 3"	Q96D15	19	49528003-49546962	"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"	"Protein transport, Transport"	Chaperone		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Endometrial stromal cells: 54.4;Fibroblasts: 110.5;Leydig cells: 38.1;Ovarian stromal cells: 45.2;Pancreatic endocrine cells: 59.4;Peritubular cells: 42.2"	"Group enriched"	"Detected in many"	4	"astrocyte: 6.4;central nervous system macrophage: 21.7;fibroblast: 22.3;vascular associated smooth muscle cell: 15.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in many"		"naive CD4 T-cell: 6.9"	"Group enriched"	"Detected in many"	9	"granulocytes: 2.6;NK-cells: 1.8;T-cells: 6.9"	"Cancer enhanced"	"Detected in all"		"Bone cancer: 127.6;Sarcoma: 142.8"	"Adipose subcutaneous - Adipose progenitor cells, Adipose visceral - Adipose progenitor cells, Heart muscle - Fibroblasts, Lung - Fibroblast_2, Prostate - Fibroblasts, Skin - Fibroblast_2, Stomach - Fibroblasts"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA043134, HPA050402"	Uncertain		Supported	"Endoplasmic reticulum,Vesicles"	"Intracellular and membrane"	Transport	No	No		11000000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 41: Smooth muscle tissue - ECM organization"	"Cluster 12: Non-specific - Vasculature"	"Cluster 64: Connective tissue cells - ECM organization"	"Cluster 50: Connective tissue cells - ECM organization"	9	"Endoplasmic reticulum"	Vesicles	"HPA043134: AB_2678332, HPA050402: AB_2681114"	"unprognostic (1.02e-3)"	"unprognostic (1.78e-1)"	"unprognostic (1.35e-1)"	"unprognostic (1.32e-1)"	"unprognostic (1.31e-3)"	"unprognostic (7.68e-2)"	"unprognostic (4.17e-3)"	"unprognostic (4.03e-2)"	"unprognostic (1.01e-1)"	"unprognostic (5.90e-2)"	"unprognostic (2.89e-4)"	"unprognostic (6.10e-2)"	"unprognostic (4.32e-2)"	"unprognostic (1.96e-3)"	"unprognostic (4.50e-2)"	"unprognostic (3.44e-2)"	"unprognostic (1.38e-3)"	"unprognostic (1.42e-1)"	"unprognostic (1.92e-1)"	"unprognostic (5.89e-2)"	"unprognostic (6.38e-2)"	"unprognostic (2.47e-1)"	"unprognostic (7.61e-2)"	"unprognostic (1.94e-1)"	"unprognostic (2.01e-2)"	"unprognostic (3.90e-2)"	"unprognostic (7.06e-2)"	"unprognostic (6.36e-2)"	"unprognostic (2.07e-1)"	"unprognostic (7.70e-3)"	"unprognostic (9.78e-3)"
REEP4	"C8orf20, FLJ22246, FLJ22277, PP432, Yip2c"	ENSG00000168476	"Receptor accessory protein 4"	Q9H6H4	8	22138020-22141951	"Predicted membrane proteins"	"Cell cycle, Cell division, Mitosis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"esophagus: 86.8;skin 1: 88.2"	"Cell type enhanced"	"Detected in many"		"Syncytiotrophoblasts: 93.0"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 29.3"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Stomach - Gastric mucous cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA042683	Approved		Supported	"Endoplasmic reticulum"			No	Yes			"Cluster 10: Non-specific - Membrane trafficking"	"Cluster 27: Squamous epithelium - Keratinization"	"Cluster 20: Macrophages & Microglia - Immune response"	"Cluster 40: Non-specific - Unknown function"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	145	"Endoplasmic reticulum"		"HPA042683: AB_2571730"	"unprognostic (3.04e-1)"	"unprognostic (1.31e-1)"	"unprognostic (2.25e-2)"	"unprognostic (4.93e-2)"	"unprognostic (2.22e-2)"	"unprognostic (2.47e-1)"	"unprognostic (2.45e-1)"	"unprognostic (6.42e-2)"	"unprognostic (2.57e-1)"	"unprognostic (5.83e-3)"	"unprognostic (1.29e-5)"	"unprognostic (1.39e-3)"	"unprognostic (3.71e-3)"	"unprognostic (6.40e-5)"	"unprognostic (2.44e-2)"	"unprognostic (1.05e-2)"	"unprognostic (8.27e-2)"	"unprognostic (3.08e-2)"	"unprognostic (1.81e-1)"	"unprognostic (4.16e-1)"	"unprognostic (1.78e-1)"	"unprognostic (1.17e-1)"	"unprognostic (3.94e-2)"	"unprognostic (2.17e-1)"	"unprognostic (1.35e-1)"	"unprognostic (1.08e-1)"	"unprognostic (7.74e-2)"	"unprognostic (1.15e-1)"	"unprognostic (1.87e-1)"	"unprognostic (3.39e-3)"	"unprognostic (1.00e-1)"
REEP5	"C5orf18, D5S346, DP1, POB16, TB2, Yip2e"	ENSG00000129625	"Receptor accessory protein 5"	Q00765	5	112876385-112922289	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Adrenal gland - Adrenal cortex cells, Liver - Hepatocytes, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA003895, HPA069960"	Approved		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 40: Monocytes - Innate immune response"	"Cluster 26: Adrenal gland - Steroid metabolism"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 15: Non-specific - Mixed function"	102	"Endoplasmic reticulum"		"HPA003895: AB_1845723, HPA069960: AB_2686221"	"unprognostic (1.87e-2)"	"unprognostic (3.11e-4)"	"unprognostic (5.12e-2)"	"unprognostic (1.55e-1)"	"unprognostic (1.48e-1)"	"unprognostic (8.48e-2)"	"unprognostic (1.06e-1)"	"unprognostic (7.78e-3)"	"unprognostic (1.26e-2)"	"unprognostic (2.04e-1)"	"unprognostic (4.17e-9)"	"unprognostic (5.89e-6)"	"unprognostic (1.32e-1)"	"unprognostic (3.55e-2)"	"unprognostic (8.16e-3)"	"unprognostic (6.55e-2)"	"unprognostic (2.92e-1)"	"unprognostic (3.60e-3)"	"unprognostic (2.18e-6)"	"unprognostic (1.13e-1)"	"unprognostic (2.34e-3)"	"unprognostic (1.39e-1)"	"unprognostic (1.30e-1)"	"unprognostic (2.73e-1)"	"unprognostic (1.77e-1)"	"unprognostic (6.42e-3)"	"unprognostic (8.02e-2)"	"unprognostic (1.03e-1)"	"unprognostic (1.52e-1)"	"unprognostic (2.84e-1)"	"unprognostic (4.42e-2)"
REEP6	"C19orf32, DP1L1, FLJ25383, Yip2f"	ENSG00000115255	"Receptor accessory protein 6"	Q96HR9	19	1491166-1497927	"Disease related genes, Human disease related genes, Predicted membrane proteins"			"Disease variant, Retinitis pigmentosa"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"intestine: 211.2;liver: 388.3;testis: 276.0"	"Group enriched"	"Detected in many"	5	"Late spermatids: 3055.8;Proximal enterocytes: 905.4"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in all"		"Liver Hepatocellular Carcinoma (TCGA): 227.5"	"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in all"			"Adipose subcutaneous - Adipocytes (Subcutaneous), Adipose visceral - Adipocytes (Visceral), Breast - Breast glandular cells, Breast - Breast glandular cells, Kidney - Proximal tubular cells, Liver - Hepatocytes, Prostate - Prostate glandular cells, Skin - Sebaceous gland cells, Testis - Late spermatids"									"HPA003895, HPA048015"	Enhanced		Supported	"Endoplasmic reticulum,Acrosome"			NA	NA			"Cluster 33: Non-specific - ATP binding"	"Cluster 46: Testis - Spermatogenesis"	"Cluster 51: Neurons - Mixed function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 36: Late spermatids - Unknown function"	47	"Endoplasmic reticulum"	Acrosome	"HPA003895: AB_1845723, HPA048015: AB_2680233"	"unprognostic (8.98e-3)"	"unprognostic (1.79e-1)"	"unprognostic (1.12e-2)"	"unprognostic (1.88e-1)"	"unprognostic (9.93e-2)"	"unprognostic (6.80e-2)"	"unprognostic (2.44e-1)"		"unprognostic (5.20e-2)"	"unprognostic (1.80e-2)"	"unprognostic (2.90e-4)"	"unprognostic (1.59e-2)"	"unprognostic (6.38e-2)"	"unprognostic (8.00e-2)"	"unprognostic (6.49e-2)"	"unprognostic (1.98e-3)"	"unprognostic (3.30e-2)"	"unprognostic (7.02e-2)"	"unprognostic (4.54e-1)"	"unprognostic (3.64e-1)"	"unprognostic (3.24e-4)"	"unprognostic (6.39e-2)"	"unprognostic (1.17e-3)"	"unprognostic (2.32e-1)"	"unprognostic (7.31e-2)"	"unprognostic (3.38e-1)"	"unprognostic (3.33e-2)"	"unprognostic (2.50e-1)"	"unprognostic (8.01e-2)"	"unprognostic (3.27e-2)"	"unprognostic (5.24e-2)"
RETREG1	"FAM134B, FLJ20152, JK1"	ENSG00000154153	"Reticulophagy regulator 1"	Q9H6L5	5	16473038-16617101	"Disease related genes, Human disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	Autophagy		"Neurodegeneration, Neuropathy"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in all"		"heart muscle: 97.1;skeletal muscle: 136.8"	"Cell type enhanced"	"Detected in many"		"Cardiomyocytes: 243.8;Early spermatids: 483.0;Glandular and luminal cells: 239.2;Late spermatids: 716.6;Oligodendrocytes: 272.7;Skeletal myocytes: 250.8"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Group enriched"	"Detected in many"	10	"granulocytes: 9.4;T-cells: 8.8"	"Low cancer specificity"	"Detected in many"			"Adipose visceral - Adipocytes (Visceral), Heart muscle - Cardiomyocytes, Minor Salivary Gland - Endothelial cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA012077			Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 35: Neutrophils - Protein binding"	"Cluster 23: Non-specific - Cellular respiration"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 37: Glandular & Luminal cells - Unknown function"	9	"Endoplasmic reticulum"		"HPA012077: AB_2668621"	"unprognostic (1.60e-1)"	"unprognostic (1.18e-1)"		"unprognostic (1.11e-1)"	"unprognostic (1.45e-1)"	"unprognostic (3.53e-3)"	"unprognostic (2.30e-3)"	"unprognostic (6.57e-2)"	"unprognostic (1.63e-2)"	"unprognostic (3.58e-1)"	"unprognostic (1.85e-8)"	"unprognostic (8.71e-2)"	"unprognostic (9.92e-4)"	"unprognostic (2.19e-2)"		"unprognostic (4.44e-1)"	"unprognostic (4.85e-2)"	"unprognostic (4.15e-1)"	"unprognostic (3.87e-1)"	"unprognostic (1.18e-1)"	"unprognostic (1.65e-1)"	"unprognostic (3.60e-2)"	"unprognostic (3.47e-3)"	"unprognostic (3.86e-1)"	"unprognostic (1.14e-2)"	"unprognostic (1.94e-1)"	"unprognostic (6.65e-2)"	"unprognostic (2.61e-1)"	"unprognostic (9.23e-2)"	"unprognostic (9.82e-2)"	"unprognostic (1.75e-1)"
RHBDD1	DKFZp547E052	ENSG00000144468	"Rhomboid domain containing 1"	Q8TEB9	2	226835581-226999215	"Enzymes, Predicted intracellular proteins, Predicted membrane proteins, Transporters"	"Apoptosis, Differentiation, Spermatogenesis"	"Hydrolase, Protease, Serine protease"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Astrocytes: 63.5;Microglial cells: 54.6;Oligodendrocyte precursor cells: 52.4;Oligodendrocytes: 101.4;Plasma cells: 50.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Testis - Early spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA013972, HPA057125"	Approved		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 32: Basophils - Transcription"	"Cluster 71: Thymus - Adaptive immune response"	"Cluster 13: Oligodendrocytes - Mixed function"	"Cluster 13: Non-specific - Mixed function"	"Cluster 73: B-cells - B-cell function"	29	"Endoplasmic reticulum"		"HPA013972: AB_2178629, HPA057125: AB_2683343"	"unprognostic (2.26e-2)"	"unprognostic (2.84e-2)"	"unprognostic (5.66e-2)"	"unprognostic (1.52e-1)"	"unprognostic (3.68e-2)"	"unprognostic (1.59e-2)"	"unprognostic (1.51e-1)"	"unprognostic (3.42e-2)"	"unprognostic (2.85e-1)"	"unprognostic (3.98e-2)"	"unprognostic (7.92e-7)"	"unprognostic (1.99e-2)"	"unprognostic (3.89e-2)"	"unprognostic (2.04e-3)"	"unprognostic (2.09e-1)"	"unprognostic (5.23e-2)"	"unprognostic (1.19e-1)"	"unprognostic (1.11e-2)"	"unprognostic (4.33e-2)"	"unprognostic (7.31e-2)"	"unprognostic (1.13e-1)"	"unprognostic (5.00e-3)"	"unprognostic (1.11e-1)"	"unprognostic (2.01e-1)"	"unprognostic (8.54e-2)"	"unprognostic (2.65e-2)"	"unprognostic (2.28e-1)"	"unprognostic (9.56e-3)"	"unprognostic (1.30e-1)"	"unprognostic (1.89e-1)"	"unprognostic (1.16e-1)"
RNF5	"G16, NG2, RING5, RMA1"	ENSG00000204308	"Ring finger protein 5"	Q99942	6	32178405-32180793	"Enzymes, Metabolic proteins, Predicted membrane proteins"	"Ubl conjugation pathway"	Transferase		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Cell type enhanced"	"Detected in many"		"Proximal enterocytes: 270.6;Proximal tubular cells: 321.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Liver - Hepatocytes"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"CAB034107, HPA065032"	Uncertain		Supported	"Endoplasmic reticulum"			NA	NA			"Cluster 29: Non-specific - Unknown function"	"Cluster 23: Non-specific - Cellular respiration"	"Cluster 28: Oligodendrocytes - Mixed function"	"Cluster 28: Non-specific - Nuclear processes"	"Cluster 22: Proximal enterocytes - Digestion"	100	"Endoplasmic reticulum"		"CAB034107: AB_2238618, HPA065032: AB_2685408"	"unprognostic (9.66e-2)"	"unprognostic (4.42e-3)"	"unprognostic (2.10e-4)"	"unprognostic (2.11e-1)"	"unprognostic (3.96e-1)"	"unprognostic (1.11e-1)"	"unprognostic (1.60e-2)"	"unprognostic (7.00e-3)"	"unprognostic (1.41e-1)"	"unprognostic (1.29e-1)"	"unprognostic (1.22e-7)"	"unprognostic (8.32e-3)"	"unprognostic (8.11e-2)"	"unprognostic (1.66e-1)"	"unprognostic (3.13e-2)"	"unprognostic (1.41e-1)"	"unprognostic (2.01e-1)"	"unprognostic (1.25e-1)"	"unprognostic (3.15e-2)"	"unprognostic (3.42e-2)"	"unprognostic (3.84e-2)"	"unprognostic (1.12e-1)"	"unprognostic (1.61e-3)"	"unprognostic (6.54e-3)"	"unprognostic (7.41e-3)"	"unprognostic (1.95e-3)"	"unprognostic (2.74e-1)"	"unprognostic (1.80e-1)"	"unprognostic (1.44e-1)"	"unprognostic (1.84e-2)"	"unprognostic (2.28e-2)"
RPL10A	"Csa-19, L10A, NEDD6"	ENSG00000198755	"Ribosomal protein L10a"	P62906	6	35468401-35470785	"Plasma proteins, Predicted intracellular proteins, Ribosomal proteins"		"Ribonucleoprotein, Ribosomal protein"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in all"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Spleen - B-cells (Spleen)"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA053803, HPA077110"	Approved		Supported	"Nucleoli,Endoplasmic reticulum,Cytosol"			NA	NA		430000	"Cluster 43: Non-specific - Transcription & Translation"	"Cluster 18: Non-specific - Ribosome"	"Cluster 7: Non-specific - Ribosome"	"Cluster 25: Non-specific - Ribosome"	"Cluster 64: Non-specific - Ribosome"	215	"Nucleoli, Endoplasmic reticulum, Cytosol"		"HPA053803: AB_2682268, HPA077110: "	"unprognostic (1.67e-3)"	"unprognostic (6.47e-2)"	"unprognostic (1.20e-1)"	"unprognostic (6.96e-5)"	"unprognostic (2.02e-1)"	"unprognostic (2.26e-1)"	"unprognostic (1.53e-1)"	"unprognostic (8.48e-2)"	"unprognostic (2.37e-2)"	"unprognostic (1.90e-1)"	"unprognostic (9.50e-4)"	"unprognostic (6.77e-4)"	"unprognostic (2.54e-2)"	"unprognostic (1.02e-2)"	"unprognostic (6.27e-3)"	"unprognostic (2.39e-1)"	"unprognostic (6.11e-3)"	"unprognostic (5.25e-2)"	"unprognostic (3.25e-1)"	"unprognostic (5.35e-2)"	"unprognostic (1.29e-1)"	"unprognostic (3.02e-2)"	"unprognostic (7.40e-2)"	"unprognostic (2.71e-1)"	"unprognostic (1.32e-3)"	"unprognostic (3.46e-1)"	"unprognostic (8.16e-2)"	"unprognostic (1.72e-2)"	"unprognostic (4.75e-1)"	"unprognostic (9.94e-2)"	"unprognostic (9.05e-3)"
